"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2022","0.0001143","0.0001269","0.0001358","0.0001081","761.79B","-9.87%"
"May 30, 2022","0.0001268","0.0001027","0.0001463","0.0001022","1,606.96B","23.43%"
"May 29, 2022","0.0001027","0.0000500","0.0001040","0.0000500","360.36B","105.50%"
"May 28, 2022","0.0000500","0.0000500","0.0000500","0.0000500","-","0.00%"
"May 27, 2022","0.0000500","0.0000617","0.0000619","0.0000500","356.17B","-19.15%"
"May 26, 2022","0.0000618","0.0000687","0.0000688","0.0000613","411.55B","-10.04%"
"May 25, 2022","0.0000687","0.0000627","0.0000716","0.0000622","409.42B","9.56%"
"May 24, 2022","0.0000627","0.0000706","0.0000718","0.0000602","390.43B","-11.17%"
"May 23, 2022","0.0000706","0.0000942","0.0001051","0.0000698","439.48B","-24.97%"
"May 22, 2022","0.0000941","0.0000627","0.0000992","0.0000608","522.51B","50.24%"
"May 21, 2022","0.0000627","0.0000559","0.0000635","0.0000551","429.16B","12.25%"
"May 20, 2022","0.0000558","0.0000609","0.0000627","0.0000556","384.83B","-8.36%"
"May 19, 2022","0.0000609","0.0000613","0.0000642","0.0000596","409.69B","-0.54%"
"May 18, 2022","0.0000612","0.0000761","0.0000777","0.0000600","407.54B","-19.53%"
"May 17, 2022","0.0000761","0.0001086","0.0001183","0.0000758","445.80B","-30.09%"
"May 16, 2022","0.0001089","0.0001029","0.0001311","0.0000767","596.07B","5.08%"
"May 15, 2022","0.0001036","0.0001872","0.0001921","0.0000845","529.50B","-44.67%"
"May 14, 2022","0.0001872","0.0000635","0.0002502","0.0000582","542.01B","193.30%"
"May 13, 2022","0.0000638","0.0003307","0.0005510","0.0000488","459.07B","-80.17%"
"May 12, 2022","0.0003219","1.0979164","1.3839141","0.0003117","260.93B","-99.97%"
"May 11, 2022","1.0979164","17.2754192","19.3557663","0.6992615","2.64B","-93.64%"
"May 10, 2022","17.2754192","30.1952419","39.8071785","13.7287130","142.58M","-42.77%"
"May 09, 2022","30.1880856","64.2927780","65.1761780","30.1880856","36.97M","-53.05%"
"May 08, 2022","64.2964020","68.0866699","68.3748550","59.4986916","15.28M","-5.56%"
"May 07, 2022","68.0842972","77.3753586","77.4668274","63.4867554","7.12M","-12.01%"
"May 06, 2022","77.3753586","82.3531418","82.9519043","77.2619858","4.76M","-6.04%"
"May 05, 2022","82.3531418","86.1607819","87.8205109","79.2343597","4.63M","-4.35%"
"May 04, 2022","86.1014175","82.4999695","88.1742020","82.0717239","3.85M","4.40%"
"May 03, 2022","82.4749680","84.2493439","85.8630524","81.2357483","2.52M","-2.16%"
"May 02, 2022","84.2924042","82.2690506","85.0493164","80.5585938","3.96M","2.46%"
"May 01, 2022","82.2690506","78.0997009","82.6410065","76.8768311","3.79M","5.33%"